index,Company,City,Industry,Percentage,Date,Funds_Raised,Stage,Country,Laid_Off_Count,strength,Reason,Year,Month,Quarters,category_label_encoded
204,Enphase Energy,SF Bay Area,Energy,0.1,2023-12-18,116.0,Post-IPO,United States,350.0,3500.0,layoff_permanent,2023,December,2023Q4,31
220,Invitae,SF Bay Area,Healthcare,0.15,2023-12-13,2500.0,Post-IPO,United States,235.0,1567.0,layoff_permanent,2023,December,2023Q4,31
228,Chipper Cash,SF Bay Area,Finance,0.33,2023-12-11,302.0,Series C,United States,15.0,45.0,layoff_permanent,2023,December,2023Q4,31
247,Spotify,Stockholm,Media,0.17,2023-12-04,2100.0,Post-IPO,Sweden,1500.0,8824.0,layoff_permanent,2023,December,2023Q4,38
253,Loco,Mumbai,Consumer,0.36,2023-11-30,52.0,Acquired,India,40.0,111.0,layoff_temporary,2023,November,2023Q4,22
259,Unity,SF Bay Area,Other,0.04,2023-11-28,1300.0,Post-IPO,United States,265.0,6625.0,layoff_permanent,2023,November,2023Q4,31
296,TripAdvisor,Boston,Travel,0.04,2023-11-12,3.0,Post-IPO,United States,125.0,3125.0,layoff_permanent,2023,November,2023Q4,4
316,Viasat,San Diego,Other,0.1,2023-11-02,366.0,Post-IPO,United States,800.0,8000.0,layoff_permanent,2023,November,2023Q4,33
322,Splunk,SF Bay Area,Data,0.07,2023-11-01,2400.0,Post-IPO,United States,500.0,7143.0,layoff_permanent,2023,November,2023Q4,31
323,Faire,SF Bay Area,Retail,0.2,2023-11-01,1700.0,Series G,United States,250.0,1250.0,layoff_permanent,2023,November,2023Q4,31
358,LinkedIn,SF Bay Area,Recruiting,0.03,2023-10-16,154.0,Acquired,United States,660.0,22000.0,layoff_permanent,2023,October,2023Q4,31
375,Carbon Health,SF Bay Area,Healthcare,0.05,2023-10-09,522.0,Series D,United States,114.0,2280.0,layoff_permanent,2023,October,2023Q4,31
380,Juniper Networks,SF Bay Area,Hardware,0.04,2023-10-06,39.0,Post-IPO,United States,440.0,11000.0,layoff_permanent,2023,October,2023Q4,31
393,Hopper,Montreal,Travel,0.3,2023-10-04,730.0,Unknown,Canada,250.0,833.0,layoff_temporary,2023,October,2023Q4,21
401,Synapse,SF Bay Area,Finance,0.4,2023-10-02,50.0,Series B,United States,86.0,215.0,layoff_permanent,2023,October,2023Q4,31
409,Epic Games,Raleigh,Consumer,0.16,2023-09-28,6400.0,Unknown,United States,870.0,5438.0,down_sizing,2023,September,2023Q3,30
416,Flexe,Seattle,Logistics,0.33,2023-09-26,263.0,Series D,United States,131.0,397.0,down_sizing,2023,September,2023Q3,36
436,Airtable,SF Bay Area,Product,0.27,2023-09-14,1400.0,Series F,United States,237.0,878.0,layoff_permanent,2023,September,2023Q3,31
442,Evolve,Denver,Travel,0.2,2023-09-12,224.0,Series F,United States,175.0,875.0,layoff_temporary,2023,September,2023Q3,11
458,Roku,SF Bay Area,Media,0.1,2023-09-06,208.0,Post-IPO,United States,360.0,3600.0,layoff_permanent,2023,September,2023Q3,31
482,Huma,London,Healthcare,0.1,2023-08-30,217.0,Unknown,United Kingdom,45.0,450.0,closure_permanent,2023,August,2023Q3,18
495,Atlas,Chicago,HR,0.3,2023-08-23,220.0,Series B,United States,150.0,500.0,layoff_permanent,2023,August,2023Q3,8
497,BlackLine,Los Angeles,Finance,0.05,2023-08-23,220.0,Post-IPO,United States,95.0,1900.0,layoff_permanent,2023,August,2023Q3,19
515,AppFolio,Santa Barbara,Real Estate,0.09,2023-08-17,30.0,Post-IPO,United States,149.0,1656.0,layoff_permanent,2023,August,2023Q3,34
531,Blend,SF Bay Area,Finance,0.19,2023-08-09,665.0,Post-IPO,United States,150.0,789.0,layoff_permanent,2023,August,2023Q3,31
553,Discord,SF Bay Area,Consumer,0.04,2023-08-03,995.0,Series H,United States,37.0,925.0,layoff_permanent,2023,August,2023Q3,31
573,Planet,SF Bay Area,Aerospace,0.1,2023-08-01,574.0,Post-IPO,United States,117.0,1170.0,layoff_permanent,2023,August,2023Q3,31
589,Wish,SF Bay Area,Retail,0.34,2023-07-27,1600.0,Post-IPO,United States,255.0,750.0,closure_permanent,2023,July,2023Q3,31
590,Point,SF Bay Area,Real Estate,0.28,2023-07-27,149.0,Series C,United States,61.0,218.0,layoff_permanent,2023,July,2023Q3,31
595,Copia,Nairobi,Retail,0.25,2023-07-26,103.0,Series C,Kenya,350.0,1400.0,closure_permanent,2023,July,2023Q3,23
596,Figure,SF Bay Area,Crypto,0.2,2023-07-26,1500.0,Unknown,United States,90.0,450.0,down_sizing,2023,July,2023Q3,31
668,Perfect Day,SF Bay Area,Food,0.15,2023-07-06,711.0,Series D,United States,134.0,893.0,layoff_permanent,2023,July,2023Q3,31
678,Zip,Sydney,Finance,0.2,2023-07-02,896.0,Post-IPO,Australia,300.0,1500.0,layoff_temporary,2023,July,2023Q3,39
684,Headspace,Los Angeles,Healthcare,0.15,2023-06-29,216.0,Unknown,United States,181.0,1207.0,layoff_permanent,2023,June,2023Q2,19
697,Plex,SF Bay Area,Media,0.2,2023-06-28,81.0,Unknown,United States,37.0,185.0,closure_permanent,2023,June,2023Q2,31
701,New Relic,SF Bay Area,Infrastructure,0.1,2023-06-27,214.0,Post-IPO,United States,255.0,2550.0,layoff_permanent,2023,June,2023Q2,31
710,Robinhood,SF Bay Area,Finance,0.07,2023-06-26,5600.0,Post-IPO,United States,150.0,2143.0,layoff_permanent,2023,June,2023Q2,31
711,Convoy,Seattle,Logistics,0.05,2023-06-26,1100.0,Series E,United States,30.0,600.0,closure_permanent,2023,June,2023Q2,36
718,Ritual,Toronto,Food,0.4,2023-06-21,134.0,Series C,Canada,38.0,95.0,closure_permanent,2023,June,2023Q2,41
742,TrueCar,Los Angeles,Transportation,0.24,2023-06-14,340.0,Post-IPO,United States,102.0,425.0,layoff_permanent,2023,June,2023Q2,19
752,Chegg,SF Bay Area,Education,0.04,2023-06-12,227.0,Post-IPO,United States,80.0,2000.0,closure_permanent,2023,June,2023Q2,31
